PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25388133","Leptospirosis in humans","Haake DA, Levett PN.","Curr Top Microbiol Immunol. 2015;387:65-97. doi: 10.1007/978-3-662-45059-8_5.","Haake DA","Curr Top Microbiol Immunol","2015","2014/11/13","PMC4442676","NIHMS690013","10.1007/978-3-662-45059-8_5"
"29149298","Vector-borne diseases and climate change: a European perspective","Semenza JC, Suk JE.","FEMS Microbiol Lett. 2018 Feb 1;365(2):fnx244. doi: 10.1093/femsle/fnx244.","Semenza JC","FEMS Microbiol Lett","2018","2017/11/18","PMC5812531","","10.1093/femsle/fnx244"
"31847373","Climate Change, Health and Mosquito-Borne Diseases: Trends and Implications to the Pacific Region","Filho WL, Scheday S, Boenecke J, Gogoi A, Maharaj A, Korovou S.","Int J Environ Res Public Health. 2019 Dec 14;16(24):5114. doi: 10.3390/ijerph16245114.","Filho WL","Int J Environ Res Public Health","2019","2019/12/19","PMC6950258","","10.3390/ijerph16245114"
"29845521","Arboviruses: A Family on the Move","Young PR.","Adv Exp Med Biol. 2018;1062:1-10. doi: 10.1007/978-981-10-8727-1_1.","Young PR","Adv Exp Med Biol","2018","2018/05/31","","","10.1007/978-981-10-8727-1_1"
"31285696","Climate change and infectious diseases: What can we expect?","Ogden NH, Gachon P.","Can Commun Dis Rep. 2019 Apr 4;45(4):76-80. doi: 10.14745/ccdr.v45i04a01. eCollection 2019 Apr 4.","Ogden NH","Can Commun Dis Rep","2019","2019/07/10","PMC6587697","","10.14745/ccdr.v45i04a01"
"31182801","The current and future global distribution and population at risk of dengue","Messina JP, Brady OJ, Golding N, Kraemer MUG, Wint GRW, Ray SE, Pigott DM, Shearer FM, Johnson K, Earl L, Marczak LB, Shirude S, Davis Weaver N, Gilbert M, Velayudhan R, Jones P, Jaenisch T, Scott TW, Reiner RC Jr, Hay SI.","Nat Microbiol. 2019 Sep;4(9):1508-1515. doi: 10.1038/s41564-019-0476-8. Epub 2019 Jun 10.","Messina JP","Nat Microbiol","2019","2019/06/12","PMC6784886","","10.1038/s41564-019-0476-8"
"31196187","Impact of past and on-going changes on climate and weather on vector-borne diseases transmission: a look at the evidence","Fouque F, Reeder JC.","Infect Dis Poverty. 2019 Jun 13;8(1):51. doi: 10.1186/s40249-019-0565-1.","Fouque F","Infect Dis Poverty","2019","2019/06/15","PMC6567422","","10.1186/s40249-019-0565-1"
"29219091","Potential impact of climate change on emerging vector-borne and other infections in the UK","Baylis M.","Environ Health. 2017 Dec 5;16(Suppl 1):112. doi: 10.1186/s12940-017-0326-1.","Baylis M","Environ Health","2017","2017/12/09","PMC5773876","","10.1186/s12940-017-0326-1"
"30921321","Global expansion and redistribution of Aedes-borne virus transmission risk with climate change","Ryan SJ, Carlson CJ, Mordecai EA, Johnson LR.","PLoS Negl Trop Dis. 2019 Mar 28;13(3):e0007213. doi: 10.1371/journal.pntd.0007213. eCollection 2019 Mar.","Ryan SJ","PLoS Negl Trop Dis","2019","2019/03/29","PMC6438455","","10.1371/journal.pntd.0007213"
"28270154","Pandemics, pathogenicity and changing molecular epidemiology of cholera in the era of global warming","Chowdhury FR, Nur Z, Hassan N, von Seidlein L, Dunachie S.","Ann Clin Microbiol Antimicrob. 2017 Mar 7;16(1):10. doi: 10.1186/s12941-017-0185-1.","Chowdhury FR","Ann Clin Microbiol Antimicrob","2017","2017/03/09","PMC5341193","","10.1186/s12941-017-0185-1"
"29500926","Effects of climate change on the spread of zika virus: a public health threat","Asad H, Carpenter DO.","Rev Environ Health. 2018 Mar 28;33(1):31-42. doi: 10.1515/reveh-2017-0042.","Asad H","Rev Environ Health","2018","2018/03/04","","","10.1515/reveh-2017-0042"
"31286630","Thermal biology of mosquito-borne disease","Mordecai EA, Caldwell JM, Grossman MK, Lippi CA, Johnson LR, Neira M, Rohr JR, Ryan SJ, Savage V, Shocket MS, Sippy R, Stewart Ibarra AM, Thomas MB, Villena O.","Ecol Lett. 2019 Oct;22(10):1690-1708. doi: 10.1111/ele.13335. Epub 2019 Jul 8.","Mordecai EA","Ecol Lett","2019","2019/07/10","PMC6744319","NIHMS1036326","10.1111/ele.13335"
